document_number,title,category,discipline,wbs_code,revision,status,required_date,gate_code,mandatory,folder_path,remarks
,Pyranometer Warranty Directory Delivery Notes,Commissioning,,,,NOT STARTED,,C,YES,11. Monitoring and IT,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Pyranometer General Manuals,Commissioning,,,,NOT STARTED,,C,YES,11. Monitoring and IT,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Pyranometer General Serial Numbers,Commissioning,,,,NOT STARTED,,C,YES,11. Monitoring and IT,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Weather station General Datasheets,Commissioning,,,,NOT STARTED,,C,YES,11. Monitoring and IT,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Weather station General Certificates,Commissioning,,,,NOT STARTED,,C,YES,11. Monitoring and IT,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Weather station Warranty Directory Warranty,Commissioning,,,,NOT STARTED,,C,YES,11. Monitoring and IT,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Weather station Warranty Directory Delivery Notes,Commissioning,,,,NOT STARTED,,C,YES,11. Monitoring and IT,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Weather station General Manuals,Commissioning,,,,NOT STARTED,,C,YES,11. Monitoring and IT,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Weather station General Temperature Sensors,Commissioning,,,,NOT STARTED,,C,YES,11. Monitoring and IT,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Ethernet Switches General Datasheets,Commissioning,,,,NOT STARTED,,C,YES,11. Monitoring and IT,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Ethernet Switches General Certificates,Commissioning,,,,NOT STARTED,,C,YES,11. Monitoring and IT,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Scada System General Datasheets,Commissioning,,,,NOT STARTED,,C,YES,11. Monitoring and IT,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Scada System General Certificates,Commissioning,,,,NOT STARTED,,C,YES,11. Monitoring and IT,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Scada System Warranty Directory Warranty,Commissioning,,,,NOT STARTED,,C,YES,11. Monitoring and IT,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Scada System Warranty Directory Warranty assignment,Commissioning,,,,NOT STARTED,,C,YES,11. Monitoring and IT,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Scada System Warranty Directory Delivery Notes,Commissioning,,,,NOT STARTED,,C,YES,11. Monitoring and IT,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Scada System Warranty Directory Proof of purchase,Commissioning,,,,NOT STARTED,,C,YES,11. Monitoring and IT,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Scada System Warranty Directory Warranty Claims,Commissioning,,,,NOT STARTED,,C,YES,11. Monitoring and IT,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Scada System Warranty Directory Replacements,Commissioning,,,,NOT STARTED,,C,YES,11. Monitoring and IT,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Scada System Scada Meter Manuals,Commissioning,,,,NOT STARTED,,C,YES,11. Monitoring and IT,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Scada System General Scada monitoring schematic,Commissioning,,,,NOT STARTED,,C,YES,11. Monitoring and IT,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Scada System General Software details,Commissioning,,,,NOT STARTED,,C,YES,11. Monitoring and IT,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Scada System General Default parameters list,Commissioning,,,,NOT STARTED,,C,YES,11. Monitoring and IT,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,CCTV General Datasheets,Commissioning,,,,NOT STARTED,,C,YES,12. Security and site access,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,CCTV General Certificates,Commissioning,,,,NOT STARTED,,C,YES,12. Security and site access,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,CCTV Warranty Directory Warranty,Commissioning,,,,NOT STARTED,,C,YES,12. Security and site access,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,CCTV Warranty Directory Delivery Notes,Commissioning,,,,NOT STARTED,,C,YES,12. Security and site access,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,CCTV General Manuals,Commissioning,,,,NOT STARTED,,C,YES,12. Security and site access,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Fence and Gates General Datasheets,Commissioning,,,,NOT STARTED,,C,YES,12. Security and site access,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Fence and Gates General Certificates,Commissioning,,,,NOT STARTED,,C,YES,12. Security and site access,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Fence and Gates Warranty Directory Warranty,Commissioning,,,,NOT STARTED,,C,YES,12. Security and site access,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Fence and Gates Warranty Directory Delivery Notes,Commissioning,,,,NOT STARTED,,C,YES,12. Security and site access,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Fencing General Datasheets,Commissioning,,,,NOT STARTED,,C,YES,12. Security and site access,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Fencing General Certificates,Commissioning,,,,NOT STARTED,,C,YES,12. Security and site access,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Fencing General Warranty Directory - Warranty,Commissioning,,,,NOT STARTED,,C,YES,12. Security and site access,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Fencing Warranty Directory Delivery Notes,Commissioning,,,,NOT STARTED,,C,YES,12. Security and site access,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Network Security Network Access IP network of the site,Commissioning,,,,NOT STARTED,,C,YES,12. Security and site access,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Network Security Network Access External IP of the O&M company,Commissioning,,,,NOT STARTED,,C,YES,12. Security and site access,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Network Security Network Access Router Log in details and URL,Commissioning,,,,NOT STARTED,,C,YES,12. Security and site access,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Network Security CCTV Software CCTV access details,Commissioning,,,,NOT STARTED,,C,YES,12. Security and site access,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Network Security CCTV Software External IP of the CCTV company,Commissioning,,,,NOT STARTED,,C,YES,12. Security and site access,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Network Security CCTV Software CCTV IP and gateway (interface facing the internet),Commissioning,,,,NOT STARTED,,C,YES,12. Security and site access,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Network Security CCTV Software CCTV IP and gateway (interface facing the cameras network),Commissioning,,,,NOT STARTED,,C,YES,12. Security and site access,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Network Security IP Networks Datalogger IP network and gateway,Commissioning,,,,NOT STARTED,,C,YES,12. Security and site access,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Network Security IP Networks Inverters IP network and gateway,Commissioning,,,,NOT STARTED,,C,YES,12. Security and site access,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Network Security Ports Ports used to access the CCTV externally,Commissioning,,,,NOT STARTED,,C,YES,12. Security and site access,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Site Security General Specific security procedures,Commissioning,,,,NOT STARTED,,C,YES,12. Security and site access,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Site Security General Security Company,Commissioning,,,,NOT STARTED,,C,YES,12. Security and site access,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Site Security General Patrol Route,Commissioning,,,,NOT STARTED,,C,YES,12. Security and site access,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Construction Construction Phase Plan,HSE,,,,NOT STARTED,,C,YES,13. Health and safety,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Construction HSE Notifications of works under CDM regulation (F10),HSE,,,,NOT STARTED,,C,YES,13. Health and safety,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Construction Site Risk Assessment,HSE,,,,NOT STARTED,,C,YES,13. Health and safety,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Construction Fire Risk Assessment,HSE,,,,NOT STARTED,,C,YES,13. Health and safety,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Construction HSE Emergency Protocol,HSE,,,,NOT STARTED,,C,YES,13. Health and safety,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Construction Environmental management plan,HSE,,,,NOT STARTED,,C,YES,13. Health and safety,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Construction Lift plans,HSE,,,,NOT STARTED,,C,YES,13. Health and safety,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Construction Permits,HSE,,,,NOT STARTED,,C,YES,13. Health and safety,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Post- Construction CDM HSE File,HSE,,,,NOT STARTED,,C,YES,13. Health and safety,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Post- Construction Fire Risk Assessment,HSE,,,,NOT STARTED,,C,YES,13. Health and safety,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Post- Construction Emergency Procedures,HSE,,,,NOT STARTED,,C,YES,13. Health and safety,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,H&S audit H&S audit,HSE,,,,NOT STARTED,,C,YES,13. Health and safety,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,"Contact details Contact details In case additional documents have been generated during the execution of the Works, the Client and the Contractor shall agree on possible amendments / revisions to the above folder structure.",HSE,,,,NOT STARTED,,C,YES,13. Health and safety,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
